week,home_team,home_score,vis,vis_score,home_win,winner,loser,home_yards,vis_yards,point_dif
17,KAN,27,DEN,24,1,KAN,DEN,374,307,3
17,HOU,3,JAC,31,0,JAC,HOU,277,337,28
17,NE,23,MIA,21,1,NE,MIA,249,333,2
17,PHI,10,NO,20,0,NO,PHI,313,313,10
17,SEA,23,NYJ,6,1,SEA,NYJ,346,279,17
17,LVR,34,SAN,37,0,SAN,LVR,500,454,3
17,GB,41,MIN,17,1,GB,MIN,315,346,24
17,LAC,31,LAR,10,1,LAC,LAR,431,277,21
17,BAL,13,PIT,16,0,PIT,BAL,240,351,3
18,LVR,13,KAN,31,0,KAN,LVR,279,349,18
18,JAC,20,TEN,16,1,JAC,TEN,222,312,4
18,BUF,35,NE,23,1,BUF,NE,327,341,12
18,CIN,27,BAL,16,1,CIN,BAL,257,386,11
18,ATL,30,TB,17,1,ATL,TB,382,222,13
18,NO,7,CAR,10,0,CAR,NO,304,203,3
18,CHI,13,MIN,29,0,MIN,CHI,259,482,16
18,PIT,28,CLE,14,1,PIT,CLE,333,307,14
18,IND,31,HOU,32,0,HOU,IND,398,360,1
18,MIA,11,NYJ,6,1,MIA,NYJ,302,187,5
18,SAN,38,ARI,13,1,SAN,ARI,311,255,25
18,WAS,26,DAL,6,1,WAS,DAL,309,182,20
18,DEN,31,LAC,28,1,DEN,LAC,471,352,3
18,PHI,22,NYG,16,1,PHI,NYG,342,284,6
18,SEA,19,LAR,16,1,SEA,LAR,402,269,3
18,GB,16,DET,20,0,DET,GB,291,323,4
